,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
5963,SALE,Lekki,0,0,0,"45,000,000",SALE
5964,HOUSE FOR,expresswayLekki,4,4,5,"40,000,000",SALE
5965,HOUSE FOR,Lekki,0,0,0,"65,000,000",SALE
5966,HOUSE FOR,Lekki,0,0,0,"200,000,000",SALE
5967,HOUSE FOR,Lekki,5,0,0,"63,000,000",SALE
5968,DETACHED DUPLEX,Ikoyi,6,0,0,"1,000,000,000",SALE
5969,DETACHED BUNGALOW,Ajah,4,4,5,"34,000,000",SALE
5970,BLOCKS OF,Alimosho,3,3,4,"60,000,000",SALE
5971,BLOCKS OF,Idimu,4,4,4,"48,000,000",SALE
5972,SEMI DETACHED,Lekki,4,4,5,"70,000,000",SALE
5973,DETACHED BUNGALOW,Lekki,4,4,5,"47,000,000",SALE
5974,DETACHED BUNGALOW,Ogudu,3,3,4,"25,000,000",SALE
5975,SEMI DETACHED,Ikeja,3,3,4,"35,000,000",SALE
5976,BLOCKS OF,Ikeja,3,3,3,"65,000,000",SALE
5977,DUPLEX HOUSE,Ikoyi,0,0,0,"75,000,000",SALE
5978,FLATS HOUSE,Okota,beds,baths,Toilets,"28,000,000",SALE
5979,HOUSE FOR,Lekki,0,0,0,"61,000,000",SALE
5980,HOUSE FOR,Ikoyi,0,0,0,"500,000,000",SALE
5981,DETACHED DUPLEX,Lekki,7,7,5,"480,000,000",SALE
5982,DETACHED DUPLEX,Okota,6,5,5,"52,000,000",SALE
5983,HOUSE FOR,Island,4,4,5,"110,000,000",SALE
5984,DETACHED DUPLEX,Lekki,4,4,5,"90,000,000",SALE
5985,BLOCKS OF,Okota,10,10,10,"35,000,000",SALE
5986,FLATS HOUSE,Ojodu,0,0,0,"37,000,000",SALE
5987,SALE,Ikosi,0,0,0,"60,000,000",SALE
5988,BLOCKS OF,Shomolu,2,2,2,"15,000,000",SALE
5989,HOUSE FOR,Ajah,0,0,0,"25,000,000",SALE
5990,FLATS HOUSE,Gbagada,0,0,0,"18,000,000",SALE
5991,DETACHED DUPLEX,Lekki,4,6,6,"70,000,000",SALE
5992,TERRACED BUNGALOW,Lekki,2,2,3,"25,000,000",SALE
5993,HOUSE FOR,Lekki,0,0,0,"80,000,000",SALE
5994,SEMI DETACHED,Lekki,4,4,5,"70,000,000",SALE
5995,SEMI DETACHED,Lekki,6,6,7,"65,000,000",SALE
5996,HOUSE FOR,Agege,0,0,0,"24,500,000",SALE
5997,FLATS HOUSE,Ajah,beds,baths,Toilets,"55,000,000",SALE
5998,TERRACED DUPLEX,Lekki,4,4,5,"60,000,000",SALE
5999,DETACHED BUNGALOW,Ikorodu,3,3,4,"16,000,000",SALE
6000,SEMI DETACHED,Maryland,4,4,5,"80,000,000",SALE
6001,SEMI DETACHED,Ojodu,3,3,3,"27,000,000",SALE
6002,DETACHED BUNGALOW,Ipaja,2,2,3,"3,500,000",SALE
6003,HOUSE FOR,-Ojodu,0,0,0,"18,000,000",SALE
6004,HOUSE FOR,Lekki,0,0,0,"75,000,000",SALE
6005,BLOCKS OF,Isolo,10,10,10,"36,000,000",SALE
6006,DETACHED DUPLEX,Lekki,5,5,6,"110,000,000",SALE
6007,DETACHED DUPLEX,Idimu,7,7,7,"42,000,000",SALE
6008,HOUSE FOR,....Ajah,0,0,0,"85,000,000",SALE
6009,DETACHED BUNGALOW,Ajah,5,0,0,"41,000,000",SALE
6010,HOUSE FOR,Lekki,5,0,0,"120,000,000",SALE
6011,BLOCKS OF,Gbagada,3,3,3,"50,000,000",SALE
6012,HOUSE FOR,Ikoyi,0,0,0,"220,000,000",SALE
6013,DETACHED DUPLEX,Lekki,5,5,6,"78,000,000",SALE
6014,DETACHED DUPLEX,Lekki,4,0,0,"120,000,000",SALE
6015,DETACHED DUPLEX,Ojodu,5,5,6,"65,000,000",SALE
