,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
4057,BLOCKS OF,Ogudu,2,2,3,"1,000,000",RENT
4058,MINI FLAT,Lekki,1,1,1,"1,500,000",RENT
4059,FLAT ,Lekki,3,3,3,"2,500,000",RENT
4060,COMMERCIAL PROPERTY,Lekki,beds,baths,1,"2,000,000",RENT
4061,COMMERCIAL PROPERTY,Island,beds,baths,Toilets,"16,000,000",RENT
4062,DETACHED DUPLEX,Lekki,4,4,5,"90,000,000",SALE
4063,FLAT ,Maryland,3,3,4,"2,500,000",RENT
4064,FLAT ,Ogudu,3,3,3,"1,100,000",RENT
4065,COMMERCIAL PROPERTY,Island,beds,baths,Toilets,"50,000",RENT
4066,SEMI DETACHED,RoadOgudu,4,4,5,"3,000,000",RENT
4067,COMMERCIAL PROPERTY,Island,beds,baths,Toilets,"10,000,000",RENT
4068,TERRACED DUPLEX,Lekki,4,3,4,"1,700,000",RENT
4069,DETACHED DUPLEX,Island,4,4,5,"4,500,000",RENT
4070,DETACHED DUPLEX,Ogudu,5,5,6,"4,000,000",RENT
4071,MINI FLAT,Ajah,1,1,1,"330,000",RENT
4072,FLAT ,Gbagada,3,3,4,"22,000,000",RENT
4073,TERRACED DUPLEX,Ikoyi,3,3,4,"10,000,000",RENT
4074,FLAT ,Ikeja,3,3,4,"2,500,000",RENT
4075,DETACHED DUPLEX,Island,5,5,6,"9,000,000",RENT
4076,FLAT ,Ikeja,2,0,0,"600,000",RENT
4077,FOR RENT,Ogba,beds,baths,Toilets,"3,000,000",RENT
4078,TERRACED DUPLEX,Lekki,4,4,5,"4,500,000",RENT
4079,DETACHED DUPLEX,Yaba,4,4,5,"2,000,000",RENT
4080,APARTMENT FOR,Lekki,0,0,0,"15,000,000",RENT
4081,COMMERCIAL PROPERTY,Shomolu,5,5,6,"3,000,000",RENT
4082,MINI FLAT,Okota,2,1,1,"450,000",RENT
4083,DETACHED DUPLEX,Lekki,5,5,5,"85,000,000",SALE
